text jména;četnost
JIŘÍ;319593
JAN;294669
PETR;271832
JOSEF;260631
PAVEL;207428
JAROSLAV;204961
MARTIN;178134
MIROSLAV;168008
TOMÁŠ;162802
FRANTIŠEK;153917
ZDENĚK;143998
VÁCLAV;140878
KAREL;122786
MILAN;117498
MICHAL;116410
VLADIMÍR;98804
LUKÁŠ;85974
DAVID;84330
LADISLAV;83832
JAKUB;78774
STANISLAV;73149
ROMAN;69812
ONDŘEJ;60248
ANTONÍN;59896
RADEK;56674
MAREK;54441
DANIEL;46898
MILOSLAV;41365
VOJTĚCH;38705
JAROMÍR;35486
FILIP;34307
IVAN;33295
ALEŠ;32333
LIBOR;31099
OLDŘICH;30790
RUDOLF;30395
VLASTIMIL;29881
JINDŘICH;29284
MILOŠ;28703
ADAM;28054
LUBOMÍR;27740
PATRIK;23787
BOHUMIL;23022
LUBOŠ;22680
ROBERT;22497
MATĚJ;21354
DOMINIK;20885
RADIM;18796
RICHARD;18354
IVO;17560
ROSTISLAV;17434
DUŠAN;16203
LUDĚK;15933
VLADISLAV;15658
BOHUSLAV;15560
ALOIS;15273
VÍT;15122
ŠTĚPÁN;14878
KAMIL;14214
JÁN;13484
JOZEF;13369
ZBYNĚK;13219
ŠTEFAN;11947
VIKTOR;11349
EMIL;10295
MICHAEL;10174
EDUARD;9966
VÍTĚZSLAV;9892
LUDVÍK;9233
RENÉ;9141
VASYL;9134
MARCEL;8941
PETER;8159
DALIBOR;8132
RADOMÍR;7935
OTAKAR;7800
BEDŘICH;7517
ŠIMON;6825
BŘETISLAV;6533
VILÉM;6506
VRATISLAV;6395
MATYÁŠ;6011
RADOVAN;5826
LEOŠ;5764
MYKHAYLO;5718
MARIAN;5616
IGOR;5500
PŘEMYSL;5422
BOHUMÍR;5344
ALEXANDR;5298
KRYŠTOF;4972
OTTO;4888
ARNOŠT;4852
SVATOPLUK;4263
DENIS;4197
ADOLF;4188
HYNEK;4131
ERIK;4103
BRONISLAV;4102
ALEXANDER;4002
TADEÁŠ;3930
ROBIN;3929
VOLODYMYR;3910
LUMÍR;3876
EVŽEN;3750
VLASTISLAV;3539
JURAJ;3419
YURIY;3346
KVĚTOSLAV;3275
MOJMÍR;3185
MYKOLA;3176
PAVOL;3164
MARIÁN;3132
RADOSLAV;3127
ZDENEK;3124
ČESTMÍR;3093
ANDREJ;2960
TIBOR;2931
ANTON;2838
MATOUŠ;2838
SLAVOMÍR;2788
MIKULÁŠ;2736
SAMUEL;2623
DRAHOMÍR;2530
OLEKSANDR;2456
JULIUS;2414
BORIS;2345
LEOPOLD;2342
OTA;2304
OTO;2172
GUSTAV;2153
BOHDAN;2067
BOŘIVOJ;1976
ONDREJ;1951
JONÁŠ;1935
DAN;1868
KAROL;1858
ANDRIY;1830
FERDINAND;1729
EMANUEL;1686
NIKOLAS;1649
ERICH;1612
VILIAM;1602
LEO;1575
ČENĚK;1522
GABRIEL;1516
CYRIL;1475
PETRO;1460
KRISTIÁN;1453
LUBOR;1447
AUGUSTIN;1439
