text jména;četnost
MARIE;332918
JANA;275141
EVA;161309
ANNA;151558
HANA;151179
VĚRA;129139
LENKA;118801
ALENA;110564
KATEŘINA;107560
PETRA;101644
LUCIE;100369
JAROSLAVA;96617
LUDMILA;89420
HELENA;84888
JITKA;81038
MARTINA;80808
ZDEŇKA;79507
VERONIKA;77960
JARMILA;73259
MICHAELA;72659
IVANA;70395
JIŘINA;69555
MONIKA;62625
TEREZA;61070
BOŽENA;58801
ZUZANA;57288
VLASTA;56150
MARKÉTA;55832
MARCELA;55644
DAGMAR;54430
DANA;52279
LIBUŠE;48716
MARTA;46447
IRENA;45695
MIROSLAVA;45177
BARBORA;45169
PAVLA;42621
ELIŠKA;42144
RŮŽENA;42001
OLGA;39740
KRISTÝNA;39439
ANDREA;39017
IVETA;36854
ŠÁRKA;36699
PAVLÍNA;35398
BLANKA;33806
MILADA;33710
ZDENKA;32248
KLÁRA;31327
RENATA;31092
NIKOLA;29677
GABRIELA;28489
ADÉLA;27996
RADKA;26789
SIMONA;26663
MILENA;26608
MILOSLAVA;26559
IVA;26085
DANIELA;24920
MILUŠE;23516
DENISA;22925
KAROLÍNA;22421
ROMANA;22110
ANETA;22011
ILONA;21030
STANISLAVA;20783
KVĚTOSLAVA;20719
EMILIE;20664
ANEŽKA;20579
NADĚŽDA;19522
SOŇA;19468
VLADIMÍRA;18808
KAMILA;18171
DRAHOMÍRA;17706
DANUŠE;17568
JINDŘIŠKA;16692
NATÁLIE;16665
FRANTIŠKA;16352
RENÁTA;16342
MÁRIA;14316
ALŽBĚTA;13059
VENDULA;12309
ŠTĚPÁNKA;12019
BOHUMILA;11379
LADISLAVA;10164
MAGDALENA;10089
DOMINIKA;9543
BLAŽENA;9242
ŽANETA;8728
KVĚTA;8658
SABINA;8498
JULIE;8471
ANTONIE;8261
ALICE;8174
KRISTINA;7904
KARLA;7727
HEDVIKA;7488
KVĚTUŠE;7454
ALEXANDRA;7366
SILVIE;7323
SÁRA;7117
ERIKA;6901
NELA;6878
VÁCLAVA;6776
EDITA;6373
MAGDALÉNA;6373
NIKOL;6252
LEONA;6242
JOLANA;6140
MARGITA;5995
BOHUSLAVA;5883
JOSEFA;5706
TEREZIE;5619
LINDA;5558
MAGDA;5490
LADA;5437
ADRIANA;5022
DITA;4973
VLADISLAVA;4971
TAŤÁNA;4817
SANDRA;4740
RADMILA;4704
SVATAVA;4667
DARINA;4646
SYLVA;4507
VIKTORIE;4475
IVONA;4336
BRONISLAVA;4327
ELENA;4280
IVANKA;4211
OLDŘIŠKA;4175
ANDĚLA;4090
DRAHOSLAVA;4055
MILUŠKA;3998
MARIA;3826
SVĚTLANA;3794
DIANA;3740
LIDMILA;3725
MICHALA;3530
JINDRA;3507
VLASTIMILA;3343
KARIN;3308
ZDENA;3289
JAROMÍRA;3253
KAROLINA;3180
KATARÍNA;3170
VANDA;3161
ALENKA;3093
MARIYA;3069
EMA;2983
ŽOFIE;2952
INGRID;2835
NINA;2827
