text příjmení;četnost
NGUYEN;3780
TRAN;1146
NGUYEN VAN;1044
PHAM;863
LE;755
VU;568
POPOVYCH;517
HOANG;433
BUI;393
DO;381
TRAN VAN;325
PHAM VAN;281
DANG;260
KOVACH;258
IVANOV;256
NGUYEN DUC;234
CHEN;232
RISHKO;229
HORVÁTH;221
MELNYK;215
NGO;210
NGUYEN THANH;209
LE VAN;208
KOVÁČ;203
NGUYEN XUAN;197
NGUYEN NGOC;196
STOYKA;196
PHAN;191
NGUYEN HUU;169
DAO;168
POP;167
VU VAN;163
ROMAN;158
DINH;155
ZHANG;153
DUONG;148
LI;147
NGUYEN DINH;145
PAVLYUK;145
NGUYEN TIEN;141
NGUYEN MANH;136
NGUYEN QUANG;131
WANG;131
BALOG;130
OROS;130
BALÁŽ;129
BOYKO;129
TRINH;127
DOAN;125
KOVAL;124
NGUYEN VIET;124
PETROV;124
NEMESH;122
NGUYEN MINH;122
KRYCHFALUSHIY;119
SOYMA;119
HOANG VAN;117
KUTSYN;117
CAO;116
VARGA;114
LIU;113
BENTSA;112
RUSYN;111
ROMANYUK;110
BOYCHUK;108
TOMYSHYNETS;108
NGUYEN QUOC;106
TRUONG;106
TÓTH;105
DIMITROV;104
XU;104
MAZUR;103
TKACH;103
KOVALCHUK;102
NGUYEN ANH;101
SHYMON;101
BARAN;100
HA;100
NOVÁK;100
TSUBERA;100
BABYCH;99
NGUYEN DUY;96
MÜLLER;95
PRODAN;95
SCHMIDT;95
WU;95
BODNAR;94
KOZAK;93
VO;91
DO VAN;90
KOSTYUK;90
GEORGIEV;89
LUONG;88
LIN;87
NGUYEN TUAN;87
PHAM NGOC;87
VOLOSHYN;87
DZHUHAN;86
VARHA;86
NAGY;84
MAI;83
RUSNAK;83
NGUYEN THE;82
POPOV;82
TKACHUK;82
BUI VAN;81
TOKAR;81
TRAN NGOC;81
TA;80
ZHOU;80
ČONKA;79
HETSKO;78
MATSOLA;78
ROSHKO;78
TRAN DUC;78
YAREMA;78
PHAN VAN;77
SHEVCHUK;77
DEYAK;76
PAVLOV;76
ZHU;76
TRAN QUANG;75
ROSOKHA;74
GÁBOR;73
MOLNAR;73
DOVHANYCH;72
FILIP;72
NGUYEN TRUNG;72
KRAVCHUK;71
NGUYEN CONG;71
TYASKO;71
KIM;70
NGUYEN TRONG;70
NIKOLOV;70
TRAN XUAN;70
LE QUANG;69
KUZNETSOV;68
PHUNG;68
SAVCHUK;68
BOKOCH;67
FITSAY;67
CHU;67
LE THANH;67
DRAHUN;66
ŽIGA;66
DANG VAN;65
DINH VAN;65
HO;65
HUDÁK;65
NGUYEN HONG;65
DAN;64
FISCHER;64
HOLUB;64
KOROL;64
LUKÁČ;64
MOLDAVCHUK;64
NGUYEN HUY;64
SHELEMBA;64
SHEVCHENKO;64
URBAN;64
VOLOSHCHUK;64
ATANASOV;62
LUU;62
NGUYEN HOANG;62
HUANG;61
MOLNÁR;61
MOROZ;61
NGO VAN;61
KUBYNETS;60
NOWAK;60
VU DINH;60
ZHENG;60
SINGH;59
SZABÓ;59
VUONG;59
DUDLA;58
MELNYCHUK;58
OLIYNYK;58
YANG;58
GAJDOŠ;57
KUSHNIR;57
LEMAK;57
VLAD;57
VOROKHTA;57
ZHAO;57
BERDAR;56
HU;56
NGUYEN BA;56
POLÁK;56
TRAN ANH;56
TRAN QUOC;56
DANYLYUK;55
MYKULYAK;55
TRAN DINH;55
YAREMCHUK;55
HRYHA;54
KOHUT;54
POLYAK;54
ROZMAN;54
WAGNER;54
HABOR;53
HASYNETS;53
KRICHFALUSHIY;53
KUZMA;53
OLÁH;53
PHAM QUANG;53
SABADOSH;53
YE;53
 ;52
BORKA;52
BUI QUANG;52
KRAVETS;52
LEMBAK;52
LYAKH;52
SHPILKA;52
DUONG VAN;51
KOVÁČIK;51
MAYOR;51
PAVLÍK;51
SMIRNOV;51
HYCHKA;50
KRAVCHENKO;50
NOVAK;50
NOVOTNÝ;50
SHIMAN;50
SCHNEIDER;50
SLYVKA;50
