text příjmení;četnost
NGUYEN;2191
NGUYEN THI;1776
TRAN;644
NGUYENOVÁ;556
TRAN THI;518
LE;513
PHAM;497
PHAM THI;388
LE THI;371
VU;362
VU THI;308
HOANG;247
BUI;233
DO;228
POPOVYCH;216
NOVÁKOVÁ;190
IVANOVA;178
HOANG THI;173
CHEN;162
KIM;161
BUI THI;159
TRANOVÁ;153
HORVÁTHOVÁ;148
NGUYEN THI THU;145
DO THI;144
NGO;137
RISHKO;135
DANG;133
NOVOTNÁ;128
MELNYK;118
STOYKA;117
WANG;117
PHAMOVÁ;116
KOVÁČOVÁ;114
KOVACH;112
DINH;110
SVOBODOVÁ;110
NGUYEN THI THANH;106
PHAN;106
ZHANG;106
DINH THI;97
NGO THI;97
DAO;95
DANG THI;93
NGUYEN THI KIM;93
ČERNÁ;92
PHAN THI;91
LI;90
DUONG;89
KRYCHFALUSHIY;81
DVOŘÁKOVÁ;80
BALÁŽOVÁ;79
LIU;79
POPOVA;77
DAO THI;76
PAVLYUK;76
KUČEROVÁ;75
NGUYEN THU;75
DOAN;73
PAVLOVA;73
TRUONG;73
HOLUBOVÁ;72
PROCHÁZKOVÁ;71
BALOGOVÁ;70
BENTSA;70
BOYKO;68
KOVAL;68
OROS;68
TÓTHOVÁ;68
CAO;67
POP;67
DOAN THI;66
KUZNETSOVA;66
ROMAN;66
XU;66
KOVALCHUK;65
NGUYEN THI HONG;65
POLÁKOVÁ;65
WU;65
LUONG;64
PETROVA;64
RI;64
LIN;62
TA;62
GÁBOROVÁ;61
KOVALENKO;61
TRINH;61
HA;59
HORÁKOVÁ;59
ROMANYUK;59
TRINH THI;59
VO;59
BABYCH;58
MARKOVÁ;58
NGUYEN THUY;58
VARGOVÁ;58
YE;58
ZHOU;58
BARTOŠOVÁ;57
MAI;57
SOYMA;57
NGUYEN THI MINH;56
NGUYEN THI THUY;56
DUONG THI;55
VESELÁ;54
HOANGOVÁ;53
KRAVCHUK;53
SHEVCHENKO;53
NEMESH;52
NGUYEN THI BICH;52
POKORNÁ;52
SOKOLOVA;52
HO;51
MAI THI;51
SHEVCHUK;51
SMIRNOVA;51
TKACHUK;50
TOMYSHYNETS;50
KOSTYUK;49
KUTSYN;49
MATSOLA;49
CHU;48
KRAVCHENKO;48
NGUYEN THANH;48
PAVLÍKOVÁ;48
RUSYN;48
NOVIKOVA;47
BOYCHUK;46
ČONKOVÁ;46
GEORGIEVA;46
RUSNAK;46
TKACH;46
HUANG;45
LAKATOŠOVÁ;45
TRAN THI THU;45
ZHU;45
BENEŠOVÁ;44
BODNAR;44
ČERVEŇÁKOVÁ;44
DOLEŽALOVÁ;44
KOZLOVA;44
NGUYEN THI NGOC;44
TRAN THI THANH;44
KOLÁŘOVÁ;43
LEOVÁ;43
NAGYOVÁ;43
YANG;43
BONDARENKO;42
DAN;42
FEDOROVA;42
MAZUR;42
SHYMON;42
SÝKOROVÁ;42
ŽIGOVÁ;42
ČERMÁKOVÁ;41
DOVHANYCH;41
LUKÁČOVÁ;41
PRODAN;41
URBANOVÁ;41
ČECHOVÁ;40
KONEČNÁ;40
KRÁLOVÁ;40
SAVCHUK;40
ŠIMKOVÁ;40
TKACHENKO;40
TRUONG THI;40
VO THI;40
GAO;39
HUDÁKOVÁ;39
KUSHNIR;39
LE THI THU;39
OLÁHOVÁ;39
PAK;39
HO THI;38
KOTLÁROVÁ;38
KOVÁŘOVÁ;38
KOZAK;38
KUBYNETS;38
NGUYEN PHUONG;38
PECHOVÁ;38
SIVÁKOVÁ;38
BEŇOVÁ;37
JELÍNKOVÁ;37
LUU;37
MAYOR;37
NĚMCOVÁ;37
STEPANOVA;37
TOKAR;37
FITSAY;36
KRATOCHVÍLOVÁ;36
PHUNG;36
PHUNG THI;36
TYASKO;36
VARHA;36
BORKA;35
DEMETEROVÁ;35
DZHUHAN;35
FERENCOVÁ;35
LUONG THI;35
RŮŽIČKOVÁ;35
STRAKOVÁ;35
TSUBERA;35
ZHAO;35
ATANASOVA;34
BOKOCH;34
CAO THI;34
DEYAK;34
DIMITROVA;34
HA THI;34
LE THI THANH;34
NAVRÁTILOVÁ;34
OLIYNYK;34
SHIMAN;34
TA THI;34
VUOVÁ;34
ZEMANOVÁ;34
ČUREJOVÁ;33
DINHOVÁ;33
LUU THI;33
NGUYEN NGOC;33
PETROVÁ;33
