text příjmení;četnost
NOVÁK;34089
SVOBODA;25186
NOVOTNÝ;24233
DVOŘÁK;22200
ČERNÝ;17802
PROCHÁZKA;15999
KUČERA;15101
VESELÝ;12820
HORÁK;12129
NĚMEC;11146
POKORNÝ;10750
MAREK;10728
POSPÍŠIL;10720
HÁJEK;10264
JELÍNEK;9874
KRÁL;9853
RŮŽIČKA;9637
BENEŠ;9438
FIALA;9263
SEDLÁČEK;8909
DOLEŽAL;8787
ZEMAN;8716
KOLÁŘ;8465
KREJČÍ;8420
NAVRÁTIL;8237
ČERMÁK;7944
URBAN;7607
VANĚK;7593
BLAŽEK;7309
KŘÍŽ;7185
KRATOCHVÍL;7045
KOVÁŘ;6965
KOPECKÝ;6865
BARTOŠ;6858
VLČEK;6810
MUSIL;6747
ŠIMEK;6720
POLÁK;6696
KONEČNÝ;6634
MALÝ;6589
ČECH;6389
KADLEC;6384
ŠTĚPÁNEK;6373
STANĚK;6358
HOLUB;6294
DOSTÁL;6263
SOUKUP;6107
ŠŤASTNÝ;6071
MAREŠ;5987
MORAVEC;5871
SÝKORA;5825
TICHÝ;5783
VALENTA;5669
VÁVRA;5647
MATOUŠEK;5627
ŘÍHA;5612
BLÁHA;5581
BUREŠ;5434
ŠEVČÍK;5429
HRUŠKA;5315
DUŠEK;5233
MAŠEK;5230
PAVLÍK;5199
HRUBÝ;5173
HAVLÍČEK;5143
JANDA;5086
MACH;4995
LIŠKA;4833
BERAN;4813
BEDNÁŘ;4797
VÍTEK;4763
VACEK;4757
BÁRTA;4741
ŽÁK;4739
MACHÁČEK;4733
TOMAN;4725
KAŠPAR;4713
ŠMÍD;4709
TŮMA;4662
SEDLÁK;4655
ŠVEC;4639
STEJSKAL;4621
MÜLLER;4598
JAROŠ;4490
STRNAD;4415
BÍLEK;4399
JEŽEK;4396
SLAVÍK;4384
NĚMEČEK;4360
MATĚJKA;4262
BERÁNEK;4233
HORÁČEK;4207
FIŠER;4188
TESAŘ;4184
HORVÁTH;4125
KUBÍČEK;4082
KRAUS;4079
BROŽ;4078
HAVEL;3990
PROKOP;3946
KOHOUT;3929
PAVLÍČEK;3921
HAVLÍK;3890
KLÍMA;3880
SUCHÝ;3844
JANEČEK;3843
ŠULC;3827
